Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Price,Image Src
ayran-250-ml,Айран,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,AYRAN_250_ML,0,,0,2.00,
kafe-espreso-60-ml,Кафе еспресо,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,60 ml,KAFE_ESPRESO_60_ML,0,,0,1.60,
kafe-lavatsa-kapsula-60-ml,"Кафе ""Лаваца"" капсула",Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,60 ml,KAFE_LAVATSA_KAPSULA_60_ML,0,,0,2.20,
nes-kafe-60-ml,Нес кафе,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,60 ml,NES_KAFE_60_ML,0,,0,1.60,
kapuchino-150-ml,Капучино,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,150 ml,KAPUCHINO_150_ML,0,,0,2.20,
mokachino-150-ml,Мокачино,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,150 ml,MOKACHINO_150_ML,0,,0,2.20,
goresht-shokolad-150-ml,Горещ шоколад,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,150 ml,GORESHT_SHOKOLAD_150_ML,0,,0,2.20,
pryasno-mlyako-150-ml,Прясно мляко,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,150 ml,PRYASNO_MLYAKO_150_ML,0,,0,1.60,
chay-bilkov-150-ml,Чай билков,"мента, лайка, букет, черен, зелен",Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,150 ml,CHAY_BILKOV_150_ML,0,,0,1.40,
plodov-chay-150-ml,Плодов чай,"лимон, малина, горски плод",Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,150 ml,PLODOV_CHAY_150_ML,0,,0,1.40,
med-15-ml,Мед,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,15 ml,MED_15_ML,0,,0,0.60,
kanichka-mlyako-50-ml,Каничка мляко,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,50 ml,KANICHKA_MLYAKO_50_ML,0,,0,0.60,
smetana-10-ml,Сметана,"суха, кондензирана, спрей",Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,10 ml,SMETANA_10_ML,0,,0,0.60,
salata-deliorman-500-g,Салата Делиорман,"домати, краставици, кашкавал, сирене, шунка, снежанка, печена чушка, маслини",Делиорман,Салати,"Салати, salads",TRUE,Размер,500 g,SALATA_DELIORMAN_500_G,0,,0,9.90,
shopska-salata-400-g,Шопска Салата,"домати, краставици, пипер, лук, сирене, маслини",Делиорман,Салати,"Салати, salads",TRUE,Размер,400 g,SHOPSKA_SALATA_400_G,0,,0,7.50,
ovcharska-salata-550-g,Овчарска Салата,"домати, краставици, пипер, лук, гъби, шунка, кашкавал, сирене, яйце, маслини",Делиорман,Салати,"Салати, salads",TRUE,Размер,550 g,OVCHARSKA_SALATA_550_G,0,,0,8.50,
gratska-salata-450-g,Гръцка Салата,"домати, краставици, печен пипер, сирене, маслини, лук, мляко, риган, зехтин",Делиорман,Салати,"Салати, salads",TRUE,Размер,450 g,GRATSKA_SALATA_450_G,0,,0,7.50,
salata-tsezar-450-g,"Салата ""Цезар""","айсберг, пилешко филе, крутони, дресинг, пармезан, сос",Делиорман,Салати,"Салати, salads",TRUE,Размер,450 g,SALATA_TSEZAR_450_G,0,,0,9.90,
zelena-salata-s-riba-ton-300-g,Зелена салата с риба тон,"маруля, краставици, маслини, риба тон, дресинг",Делиорман,Салати,"Салати, salads",TRUE,Размер,300 g,ZELENA_SALATA_S_RIBA_TON_300_G,0,,0,9.90,
redena-salata-350-g,Редена салата,"домати, краставици, печ. чушки, сирене, маслини, лук",Делиорман,Салати,"Салати, salads",TRUE,Размер,350 g,REDENA_SALATA_350_G,0,,0,7.50,
zele-s-mayoneza-300-g,Зеле с майонеза,"зеле, майонеза, маслини",Делиорман,Салати,"Салати, salads",TRUE,Размер,300 g,ZELE_S_MAYONEZA_300_G,0,,0,5.90,
zelena-salata-350-g,Зелена салата,"маруля, краставици, репички, маслини, яйце",Делиорман,Салати,"Салати, salads",TRUE,Размер,350 g,ZELENA_SALATA_350_G,0,,0,6.50,
snezhanka-300-g,Снежанка,"кис. краставици, копър, чесън, кис. мляко, маслини",Делиорман,Салати,"Салати, salads",TRUE,Размер,300 g,SNEZHANKA_300_G,0,,0,6.50,
zele-s-morkovi-300-g,Зеле с моркови,"зеле, моркови",Делиорман,Салати,"Салати, salads",TRUE,Размер,300 g,ZELE_S_MORKOVI_300_G,0,,0,5.50,
morkovi-s-mayoneza-300-g,Моркови с майонеза,"моркови, майонеза, маслини",Делиорман,Салати,"Салати, salads",TRUE,Размер,300 g,MORKOVI_S_MAYONEZA_300_G,0,,0,5.90,
lucheni-kragcheta-300-g,Лучени кръгчета,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,300 g,LUCHENI_KRAGCHETA_300_G,0,,0,6.90,
kashkaval-pane-200-g,Кашкавал пане,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,200 g,KASHKAVAL_PANE_200_G,0,,0,6.90,
pileshki-drobcheta-350-g,Пилешки дробчета,"лук, моркови, пипер",Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,350 g,PILESHKI_DROBCHETA_350_G,0,,0,6.90,
pileshki-sartsa-na-tigan-300-g,Пилешки сърца на тиган,"лук, моркови",Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,300 g,PILESHKI_SARTSA_NA_TIGAN_300_G,0,,0,7.90,
pileshki-vodenichki-na-tigan-300-g,Пилешки воденички на тиган,"лук, моркови",Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,300 g,PILESHKI_VODENICHKI_NA_TIGAN_300_G,0,,0,7.90,
pileshki-filentsa-s-kornfleyks-400-g,Пилешки филенца с корнфлейкс,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,400 g,PILESHKI_FILENTSA_S_KORNFLEYKS_400_G,0,,0,9.90,
parzheni-kartofi-200-g,Пържени картофи,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,200 g,PARZHENI_KARTOFI_200_G,0,,0,5.50,
parzheni-kartofi-sas-sirene-250-g,Пържени картофи със сирене,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,250 g,PARZHENI_KARTOFI_SAS_SIRENE_250_G,0,,0,6.50,
pileshki-kriltsa-200-g,Пилешки крилца,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,200 g,PILESHKI_KRILTSA_200_G,0,,0,8.90,
parzheni-kartofi-po-selski-200-g,Пържени картофи по селски,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,200 g,PARZHENI_KARTOFI_PO_SELSKI_200_G,0,,0,6.90,
omlet-s-shunka-i-garnitura-250-g,Омлет с шунка и гарнитура,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,250 g,OMLET_S_SHUNKA_I_GARNITURA_250_G,0,,0,6.90,
portsiya-dyuner-500-g,Порция дюнер,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,500 g,PORTSIYA_DYUNER_500_G,0,,0,9.90,
svinski-rebra-pecheni-250-g,Свински ребра печени,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,250 g,SVINSKI_REBRA_PECHENI_250_G,0,,0,12.90,
topeni-sirentsa-200-g,Топени сиренца,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,200 g,TOPENI_SIRENTSA_200_G,0,,0,6.90,
beybi-motsarela-350-g,Бейби моцарела,Започнете храненето си с нашите вкусни топли предястия,Делиорман,Аламинути,"Аламинути, hot-appetizers",TRUE,Размер,350 g,BEYBI_MOTSARELA_350_G,0,,0,9.90,
pileshka-supa-300-ml,Пилешка супа,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,300 ml,PILESHKA_SUPA_300_ML,0,,0,3.50,
shkembe-chorba-300-ml,Шкембе чорба,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,300 ml,SHKEMBE_CHORBA_300_ML,0,,0,3.50,
supa-topcheta-300-ml,Супа топчета,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,300 ml,SUPA_TOPCHETA_300_ML,0,,0,3.50,
tarator-300-ml,Таратор,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,300 ml,TARATOR_300_ML,0,,0,2.50,
tsatsa-200-g,Цаца,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,200 g,TSATSA_200_G,0,,0,5.50,
skumriya-250-g,Скумрия,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,250 g,SKUMRIYA_250_G,0,,0,8.90,
sharan-na-tigan-750-g,Шаран на тиган,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,750 g,SHARAN_NA_TIGAN_750_G,0,,0,35.00,
sandvich-kayma,Сандвич кайма,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Title,Default Title,SANDVICH_KAYMA,0,,0,2.90,
sandvich-kashkaval-i-shunka,Сандвич кашкавал и шунка,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Title,Default Title,SANDVICH_KASHKAVAL_I_SHUNKA,0,,0,2.90,
sandvich-kashkaval,Сандвич кашкавал,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Title,Default Title,SANDVICH_KASHKAVAL,0,,0,2.90,
sandvich-sirene-yaytsa-i-kashkaval,"Сандвич сирене, яйца и кашкавал",От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Title,Default Title,SANDVICH_SIRENE_YAYTSA_I_KASHKAVAL,0,,0,2.90,
filiya-hlyab,Филия хляб,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Title,Default Title,FILIYA_HLYAB,0,,0,0.25,
filiya-hlyab-prepechena,Филия хляб-препечена,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Title,Default Title,FILIYA_HLYAB_PREPECHENA,0,,0,0.35,
gratska-pitka-100-g,Гръцка питка,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,100 g,GRATSKA_PITKA_100_G,0,,0,1.00,
gratska-chesnova-pitka-100-g,Гръцка чеснова питка,От традиционни супи до прясна риба и сандвичи,Делиорман,"Супи, Риба и Сандвичи","Супи, Риба и Сандвичи, soups-fish-sandwiches",TRUE,Размер,100 g,GRATSKA_CHESNOVA_PITKA_100_G,0,,0,1.00,
pitsa-deliorman-400-g,Пица Делиорман,"доматен сос, шунка, мар. гъби, кашкавал, луканка, сирене, кис. краставички, чес. паста, босилек",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_DELIORMAN_400_G,0,,0,8.90,
pitsa-bondzhorno-400-g,Пица Бонджорно,"доматен сос, сирене, кашкавал",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_BONDZHORNO_400_G,0,,0,7.90,
pitsa-margarita-400-g,Пица Маргарита,"доматен сос, кашкавал, босилек",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_MARGARITA_400_G,0,,0,7.90,
pitsa-kompira-400-g,Пица Компира,"доматен сос, шунка, пресни гъби, кашкавал",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_KOMPIRA_400_G,0,,0,7.90,
pitsa-karleona-400-g,Пица Карлеона,"доматен сос, шунка, луканка, кис. краставици, кашкавал",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_KARLEONA_400_G,0,,0,8.90,
pitsa-antigua-400-g,Пица Антигуа,"доматен сос, шунка, кашкавал",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_ANTIGUA_400_G,0,,0,8.50,
pitsa-neapolitana-400-g,Пица Неаполитана,"доматен сос, пилешко филе, пресни гъби, маслини, царевица, кашкавал",Делиорман,Пици,"Пици, pizzas",TRUE,Размер,400 g,PITSA_NEAPOLITANA_400_G,0,,0,8.50,
kyufte-80-g,Кюфте,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,80 g,KYUFTE_80_G,0,,0,2.00,
kebapche-80-g,Кебапче,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,80 g,KEBAPCHE_80_G,0,,0,2.00,
teleshko-kyufte-80-g,Телешко кюфте,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,80 g,TELESHKO_KYUFTE_80_G,0,,0,2.50,
pileshki-shish-100-g,Пилешки шиш,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,100 g,PILESHKI_SHISH_100_G,0,,0,3.50,
svinski-shish-100-g,Свински шиш,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,100 g,SVINSKI_SHISH_100_G,0,,0,3.50,
pileshka-parzhola-but-250-g,Пилешка пържола бут,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,250 g,PILESHKA_PARZHOLA_BUT_250_G,0,,0,6.00,
svinska-parzhola-250-g,Свинска пържола,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,250 g,SVINSKA_PARZHOLA_250_G,0,,0,6.90,
adana-kebap-160-g,Адана кебап,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,160 g,ADANA_KEBAP_160_G,0,,0,5.90,
tatarsko-kyufte-250-g,Татарско кюфте,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,250 g,TATARSKO_KYUFTE_250_G,0,,0,5.50,
meshena-skara-900-g,Мешена скара,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,900 g,MESHENA_SKARA_900_G,0,,0,29.50,
teleshki-ezik-200-g,Телешки език,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,200 g,TELESHKI_EZIK_200_G,0,,0,14.90,
hapki-deliorman-700-g,"Хапки ""Делиорман""","Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,700 g,HAPKI_DELIORMAN_700_G,0,,0,22.90,
mecha-lapa-300-g,Меча лапа,"Първокласни селекции на скара, приготвени до съвършенство",Делиорман,Скара и Специалитети,"Скара и Специалитети, grill-and-specialties",TRUE,Размер,300 g,MECHA_LAPA_300_G,0,,0,10.90,
pileshki-sach-sas-zelenchutsi-1000-g,Пилешки сач със зеленчуци,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,1000 g,PILESHKI_SACH_SAS_ZELENCHUTSI_1000_G,0,,0,26.90,
svinski-sach-sas-zelenchutsi-1000-g,Свински сач със зеленчуци,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,1000 g,SVINSKI_SACH_SAS_ZELENCHUTSI_1000_G,0,,0,26.90,
agneshki-sach-sas-zelenchutsi-1000-g,Агнешки сач със зеленчуци,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,1000 g,AGNESHKI_SACH_SAS_ZELENCHUTSI_1000_G,0,,0,38.00,
lukanka-100-g,Луканка,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,100 g,LUKANKA_100_G,0,,0,6.00,
sudzhuk-100-g,Суджук,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,100 g,SUDZHUK_100_G,0,,0,6.00,
pastarma-100-g,Пастърма,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,100 g,PASTARMA_100_G,0,,0,8.00,
sirene-100-g,Сирене,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,100 g,SIRENE_100_G,0,,0,3.00,
kashkaval-100-g,Кашкавал,"Разнообразие от сачове, мезета и гарнитури",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,100 g,KASHKAVAL_100_G,0,,0,4.00,
topla-garnitura-200-g,Топла гарнитура,"ориз, картофи",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,200 g,TOPLA_GARNITURA_200_G,0,,0,2.50,
studena-garnitura-200-g,Студена гарнитура,"зеле, моркови",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,200 g,STUDENA_GARNITURA_200_G,0,,0,2.50,
studena-garnitura-200-g-2,Студена гарнитура,"домати, краставици",Делиорман,"Сач, Студени Мезета и Гарнитури","Сач, Студени Мезета и Гарнитури, sach-cold-appetizers-sides",TRUE,Размер,200 g,STUDENA_GARNITURA_200_G_2,0,,0,2.50,
shish-deliorman-300-g,"Шиш ""Делиорман""","телешка кайма, арабска питка, лук",Делиорман,Нови Специалитети,"Нови Специалитети, new-specialties",TRUE,Размер,300 g,SHISH_DELIORMAN_300_G,0,,0,12.90,
teleshko-pecheno-300-g,Телешко печено,"телешко месо от рибица, чесън, картофи",Делиорман,Нови Специалитети,"Нови Специалитети, new-specialties",TRUE,Размер,300 g,TELESHKO_PECHENO_300_G,0,,0,19.90,
agneshki-delikates-na-shish-500-g,Агнешки деликатес на шиш,"агнешко месо, зеленчуци",Делиорман,Нови Специалитети,"Нови Специалитети, new-specialties",TRUE,Размер,500 g,AGNESHKI_DELIKATES_NA_SHISH_500_G,0,,0,29.90,
kyunefe,Кюнефе,Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,KYUNEFE,0,,0,9.50,
chiyzkeyk-s-chereshi,Чийзкейк с череши,Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,CHIYZKEYK_S_CHERESHI,0,,0,5.90,
shokoladov-ganash,Шоколадов Ганаш,Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,SHOKOLADOV_GANASH,0,,0,5.90,
torta-rafaelo,"Торта ""Рафаело""",Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,TORTA_RAFAELO,0,,0,5.90,
solen-karamel,Солен карамел,Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,SOLEN_KARAMEL,0,,0,5.90,
frenska-torta,Френска торта,Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,FRENSKA_TORTA,0,,0,5.90,
premium-deserti-v-burkan,Премиум десерти в буркан,"Банофи, Профитерол, Фереро",Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,PREMIUM_DESERTI_V_BURKAN,0,,0,5.90,
sladoledeni-torti,Сладоледени торти,"Френска ванилия със смокини, Белгийски шоколад с печ. лешници",Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,SLADOLEDENI_TORTI,0,,0,5.90,
sladoled,Сладолед,Насладете се на нашата изкусителна селекция от десерти,Делиорман,Десерти,"Десерти, desserts",TRUE,Title,Default Title,SLADOLED,0,,0,5.00,
carlsberg-500-ml,Carlsberg,Широка гама от местни и вносни бири,Делиорман,Бира,"Бира, beer",TRUE,Размер,500 ml,CARLSBERG_500_ML,0,,0,3.80,
carlsberg-0-0-330-ml,Carlsberg 0.0%,Широка гама от местни и вносни бири,Делиорман,Бира,"Бира, beer",TRUE,Размер,330 ml,CARLSBERG_0_0_330_ML,0,,0,3.80,
1664-blanc-330-ml,1664 Blanc,Широка гама от местни и вносни бири,Делиорман,Бира,"Бира, beer",TRUE,Размер,330 ml,1664_BLANC_330_ML,0,,0,3.80,
budweiser-500-ml,Budweiser,Широка гама от местни и вносни бири,Делиорман,Бира,"Бира, beer",TRUE,Размер,500 ml,BUDWEISER_500_ML,0,,0,4.00,
tuborg-500-ml,Tuborg,Широка гама от местни и вносни бири,Делиорман,Бира,"Бира, beer",TRUE,Размер,500 ml,TUBORG_500_ML,0,,0,3.00,
shumensko-100-malts-500-ml,Шуменско 100% малц,Широка гама от местни и вносни бири,Делиорман,Бира,"Бира, beer",TRUE,Размер,500 ml,SHUMENSKO_100_MALTS_500_ML,0,,0,3.00,
